question,answer,category
1 2 3 4 5,un deux trois quatre cinq (pronounced 'sanq'),numbers
6 7 8 9 10, six ('sis') sept ('set') huit ('uit') neuf dix ('dis') ,numbers
11 12 13,onze douze treize ('trez'),numbers
14 15 16,quatorze ('katorz') quinze ('kaz') seize ('sez'),numbers
17 18 19,dix-sept ('diset') dex-huit ('diswheat') dex-neuf ('disnuff'),numbers
20,vingt ('vah'),numbers
21 22 23,vingt et un ('vante-oon') vingt-deux ('vant-dew') vingt-troix ('van-twoh'),numbers
24 25 26,vingt-quatre vingt-cinq vingt-six,numbers
27 28 29,vingt-sept vingt-huit vingt-neuf,numbers
For which 10's (under 100) do you have to add elements together?,70s (60 and add 10 11 12 13 etc to make the 70s) 80s (4 x 20) and 90s (80 and add 10 11 12 13 etc to make the 90s),numbers
30,trente ('tront'),numbers
40,quarante ('karant' where the 'k' is almost like a 'g'),numbers
50,cinquante ('sanq-ont'),numbers
60,soixante ('swois-onT'),numbers
70,soixante-dix ('sois-on-dees'),numbers
80,quatre-vingt ('catre-von'),numbers
90,quatre-vingt-dix ('catre-von-dees'),numbers
60 61 62 63,soixante + soixante et un + soixante-duex + soixant-trois,numbers
70 71 72 73,soixante-dix + soixante et onze + soixante-douze + soixante-treize,numbers
80 81 82 83,quatre-vingts + quatre-vingt-un + quatre-vingt-duex + quatre-vingt-trois,numbers
90 91 92 93,quatre-vingt-dix + quatre-vingt-onze + quatre-vingt-douze + quatre-vingt-treize,numbers
100,cent (kind of like 'saw' in english but pronounced like sont in french),numbers
101,cent un ('saw uh'),numbers
200,deux cents ('duh saw'),numbers
201,deux cent un,numbers
300,trois cents,numbers
1.000,mille ...one thousand - not one with decimals (exchange commas and periods moving from english to french),numbers
6.000,six mille,numbers
1.000.000,un million ...one million,numbers
5.000.000,cinq million ...no plural s,numbers
1.000.000.000,un milliard ...one billion,numbers
What time is it?,Quelle heure est-il?,numbers
midday/noon,midi,numbers
midnight,minuit,numbers
1:00,une heure,numbers
7:00,sept heures,numbers
2:05,duex heures cinq ...don't use 'et' (and) if you are using numbers instead of quarter or half,numbers
8:10,huit heures dix,numbers
9:15,neuf heures et quart,numbers
4:20,quatre heures vingt,numbers
5:30,cinq heures et demie,numbers
3:35,troix heures moins vingt-cinq,numbers
6:40,six heures moins vingt,numbers
10:45,dix heures moins le quart,numbers
first,première / 1e ...this is how you talk about building floors and the arrodissiments e.g. 5e arrodissiment, numbers
second,deuxième / 2e,numbers
third,troisième / 3e,numbers
fourth,quatrième / 4e,numbers
fifth,cinqième / 5e, numbers
sixth,sixième / 6e, numbers
degrees celsius,degré Celsius,vocabulary
degrees fahrenheit,degré Fahrenheit,vocabulary
